                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1369,                0.72369,                 1.2211,                0.85688,                0.79299,                0.86656,                0.53426,                 1.2716,                0.83568,                 1.2992,               0.000878,               0.000878,               0.000878
                     37,                 1.1149,                0.71025,                 1.2066,                0.81697,                0.75304,                0.82613,                0.49899,                 1.2978,                 1.0072,                 1.3126,               0.000845,               0.000845,               0.000845
                     38,                 1.1051,                0.71138,                 1.1989,                0.86312,                0.78112,                0.86865,                0.53868,                 1.2772,                0.83756,                 1.2978,               0.000812,               0.000812,               0.000812
                     39,                 1.1031,                0.69297,                   1.21,                0.84783,                0.78559,                0.87534,                  0.538,                 1.2777,                0.75964,                 1.3053,               0.000779,               0.000779,               0.000779
                     40,                 1.0874,                0.71512,                 1.2089,                0.85643,                0.80703,                0.87934,                0.54282,                 1.2729,                0.78156,                  1.287,               0.000746,               0.000746,               0.000746
                     41,                 1.1061,                0.69649,                  1.196,                0.82547,                 0.7979,                0.86389,                 0.5331,                 1.2752,                 0.8244,                 1.2975,               0.000713,               0.000713,               0.000713
                     42,                 1.0902,                  0.666,                 1.1941,                0.86599,                 0.7718,                0.87277,                0.54165,                 1.2753,                0.76513,                 1.2969,                0.00068,                0.00068,                0.00068
                     43,                 1.0768,                0.66974,                 1.1898,                 0.8551,                0.78395,                0.86681,                 0.5438,                 1.2349,                0.76526,                 1.2632,               0.000647,               0.000647,               0.000647
                     44,                 1.0797,                0.64578,                 1.1849,                0.85237,                0.79136,                0.87238,                0.53887,                 1.2587,                0.77638,                 1.2925,               0.000614,               0.000614,               0.000614
                     45,                 1.0808,                 0.6539,                 1.1942,                0.86683,                 0.7718,                0.87068,                0.54156,                 1.2764,                0.76401,                 1.2995,               0.000581,               0.000581,               0.000581
                     46,                  1.081,                0.64231,                 1.1729,                0.85247,                 0.8044,                0.87611,                0.54591,                 1.2584,                0.76419,                 1.2829,               0.000548,               0.000548,               0.000548
                     47,                 1.0682,                0.63758,                 1.1756,                0.85725,                0.81174,                0.88682,                0.55422,                 1.2484,                 0.7461,                 1.2717,               0.000515,               0.000515,               0.000515
                     48,                 1.0365,                0.64466,                 1.1742,                0.84028,                0.78895,                0.87494,                0.53764,                 1.2885,                0.79025,                 1.2933,               0.000482,               0.000482,               0.000482
                     49,                 1.0554,                0.61884,                 1.1621,                0.82663,                0.79951,                0.86844,                0.54729,                 1.2449,                0.75626,                  1.275,               0.000449,               0.000449,               0.000449
                     50,                 1.0276,                  0.603,                 1.1565,                0.84077,                 0.8047,                0.87241,                0.54908,                 1.2497,                0.77826,                 1.2745,               0.000416,               0.000416,               0.000416
                     51,                0.98968,                0.55143,                 1.1488,                0.81524,                0.81907,                0.86372,                0.54241,                 1.2601,                0.79088,                 1.2721,               0.000383,               0.000383,               0.000383
                     52,                0.95794,                0.58705,                 1.1512,                0.83786,                0.80859,                0.87288,                0.54911,                 1.2486,                0.76159,                  1.271,                0.00035,                0.00035,                0.00035
                     53,                 0.9559,                0.52786,                 1.1416,                0.86047,                0.79462,                0.87412,                0.55428,                 1.2429,                0.74613,                 1.2743,               0.000317,               0.000317,               0.000317
                     54,                0.97813,                0.53415,                 1.1586,                0.84448,                0.79544,                0.87104,                 0.5459,                 1.2661,                0.72925,                 1.2837,               0.000284,               0.000284,               0.000284
                     55,                0.94469,                0.56201,                 1.1321,                0.82803,                0.81581,                0.87553,                0.55165,                 1.2564,                 0.7488,                 1.2841,               0.000251,               0.000251,               0.000251
                     56,                0.95408,                0.52285,                 1.1281,                0.83804,                0.81092,                0.86874,                0.54843,                 1.2609,                0.77904,                 1.2903,               0.000218,               0.000218,               0.000218
                     57,                 0.9337,                0.51559,                 1.1379,                0.85864,                0.79207,                0.86717,                0.54399,                 1.2745,                0.76565,                 1.2898,               0.000185,               0.000185,               0.000185
                     58,                0.92316,                0.50057,                 1.1214,                0.85865,                0.78973,                0.86986,                0.54621,                 1.2643,                0.74796,                 1.2894,               0.000152,               0.000152,               0.000152
                     59,                0.92687,                0.50153,                 1.1255,                0.82873,                0.83619,                0.87614,                0.55764,                 1.2469,                0.71554,                  1.275,               0.000119,               0.000119,               0.000119
                     60,                0.92364,                0.48876,                 1.1217,                0.82664,                 0.8394,                0.87964,                0.55878,                 1.2509,                0.70776,                 1.2765,                8.6e-05,                8.6e-05,                8.6e-05
