                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84275,                0.59138,                  1.142,                0.88949,                0.86798,                0.94321,                0.68286,                0.83432,                 2.0455,                 1.1685,               0.000878,               0.000878,               0.000878
                     37,                0.83681,                0.58652,                 1.1313,                0.88205,                0.88316,                0.93954,                0.69097,                0.78867,                 1.9283,                 1.1133,               0.000845,               0.000845,               0.000845
                     38,                 0.8301,                0.57466,                 1.1377,                0.87607,                0.85584,                0.92349,                0.66333,                0.83614,                 1.4251,                 1.1629,               0.000812,               0.000812,               0.000812
                     39,                0.81951,                0.55463,                 1.1301,                0.87913,                0.88012,                0.93344,                0.68819,                0.82052,                 5.2996,                 1.1582,               0.000779,               0.000779,               0.000779
                     40,                0.79858,                0.56258,                 1.1191,                 0.8748,                0.85885,                0.93225,                0.67744,                 0.8169,                 2.4209,                 1.1352,               0.000746,               0.000746,               0.000746
                     41,                0.78878,                0.53783,                  1.109,                0.88906,                0.86798,                0.93976,                0.68886,                0.80384,                  1.606,                 1.1279,               0.000713,               0.000713,               0.000713
                     42,                 0.7749,                0.53026,                 1.1113,                0.89647,                0.84674,                0.93294,                0.68708,                0.81112,                 2.2584,                 1.1409,                0.00068,                0.00068,                0.00068
                     43,                0.76518,                0.51726,                 1.0889,                0.86576,                0.86495,                0.92506,                0.66919,                0.81123,                 1.0322,                 1.1466,               0.000647,               0.000647,               0.000647
                     44,                0.76208,                0.51933,                 1.0958,                0.87086,                0.88012,                0.93931,                0.69023,                0.79915,                 2.4419,                 1.1332,               0.000614,               0.000614,               0.000614
                     45,                0.73712,                0.50228,                 1.0785,                0.86631,                0.88012,                0.93225,                0.68828,                0.80334,                 2.7572,                 1.1364,               0.000581,               0.000581,               0.000581
                     46,                0.72695,                0.49195,                 1.0751,                0.87664,                0.87253,                0.93929,                0.69783,                0.80323,                 1.6202,                 1.1254,               0.000548,               0.000548,               0.000548
                     47,                0.71732,                0.48495,                 1.0734,                0.86137,                0.87709,                0.92868,                0.68768,                0.81187,                 3.2146,                 1.1376,               0.000515,               0.000515,               0.000515
                     48,                0.70668,                0.48992,                 1.0668,                0.89744,                0.84825,                0.93257,                0.69647,                0.78808,                 5.1661,                 1.1188,               0.000482,               0.000482,               0.000482
                     49,                0.70582,                0.47697,                  1.068,                0.86276,                0.85855,                0.92649,                0.68342,                0.81217,                 1.9762,                 1.1529,               0.000449,               0.000449,               0.000449
                     50,                0.68962,                0.47197,                 1.0557,                0.86818,                 0.8786,                0.93481,                0.69126,                0.79048,                 3.6293,                  1.122,               0.000416,               0.000416,               0.000416
                     51,                0.62983,                0.39721,                 1.0236,                0.86861,                0.86495,                0.92386,                0.68899,                0.80417,                 2.2174,                 1.1477,               0.000383,               0.000383,               0.000383
                     52,                0.63081,                0.38941,                 1.0209,                0.87455,                0.83573,                0.92406,                0.68682,                0.80353,                 1.8585,                 1.1423,                0.00035,                0.00035,                0.00035
                     53,                0.62709,                0.38281,                 1.0252,                0.85423,                0.83763,                0.91547,                 0.6801,                0.79358,                 0.7504,                 1.1333,               0.000317,               0.000317,               0.000317
                     54,                0.59626,                0.36512,                 1.0117,                0.85029,                0.88619,                0.93005,                0.69834,                0.80065,                 1.2239,                 1.1314,               0.000284,               0.000284,               0.000284
                     55,                0.58913,                  0.343,                 1.0086,                0.89404,                0.85129,                0.93276,                0.70029,                0.80928,                 1.0708,                 1.1543,               0.000251,               0.000251,               0.000251
                     56,                0.58143,                0.34717,                0.99824,                0.86531,                0.87741,                0.92829,                0.70211,                0.79571,                 1.0863,                 1.1346,               0.000218,               0.000218,               0.000218
                     57,                0.55774,                0.33883,                0.98951,                0.85664,                0.86343,                0.92264,                0.69677,                0.79657,                 1.0739,                 1.1388,               0.000185,               0.000185,               0.000185
                     58,                0.55531,                0.33247,                0.98618,                0.85733,                0.87557,                0.92716,                 0.7017,                0.78779,                0.84296,                 1.1228,               0.000152,               0.000152,               0.000152
                     59,                 0.5409,                0.31383,                0.97656,                0.86513,                0.86798,                0.92939,                0.70501,                0.79167,                0.80171,                 1.1229,               0.000119,               0.000119,               0.000119
                     60,                0.53291,                0.31897,                0.97715,                0.86316,                0.87101,                 0.9264,                0.69976,                0.79449,                0.71762,                  1.138,                8.6e-05,                8.6e-05,                8.6e-05
