                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85609,                0.80445,                 1.2108,                0.80937,                0.80869,                0.83773,                0.65658,                0.87403,                0.68204,                 1.3379,               0.000878,               0.000878,               0.000878
                     37,                0.84089,                0.77692,                 1.1864,                0.79166,                0.80258,                0.83883,                0.65368,                 0.9156,                0.75703,                  1.393,               0.000845,               0.000845,               0.000845
                     38,                0.83387,                0.78973,                 1.1988,                0.78312,                0.82044,                0.83707,                0.65575,                0.86766,                0.75425,                 1.3336,               0.000812,               0.000812,               0.000812
                     39,                0.84173,                0.75951,                 1.1893,                0.81506,                0.80887,                0.85386,                0.66895,                 0.8422,                0.66552,                 1.2802,               0.000779,               0.000779,               0.000779
                     40,                0.84472,                0.75008,                  1.196,                0.79201,                0.83234,                0.85011,                0.66724,                0.86799,                0.66029,                 1.3185,               0.000746,               0.000746,               0.000746
                     41,                0.81206,                0.75815,                 1.1809,                0.78412,                0.81078,                0.84293,                0.65647,                0.87271,                0.66402,                 1.3456,               0.000713,               0.000713,               0.000713
                     42,                0.80481,                 0.7173,                 1.1813,                0.78623,                0.82639,                0.83913,                0.66312,                0.86871,                0.67109,                 1.3307,                0.00068,                0.00068,                0.00068
                     43,                0.82429,                0.70952,                 1.1881,                0.76815,                0.84226,                0.84056,                0.65585,                0.84558,                 0.6896,                 1.2944,               0.000647,               0.000647,               0.000647
                     44,                0.81577,                0.70783,                 1.1666,                0.78144,                0.84775,                0.84895,                0.67351,                0.85375,                 0.6885,                 1.3119,               0.000614,               0.000614,               0.000614
                     45,                0.79395,                0.71471,                  1.163,                0.79193,                0.81151,                0.84631,                0.65939,                0.83608,                 0.6948,                 1.2882,               0.000581,               0.000581,               0.000581
                     46,                 0.7919,                0.67159,                 1.1526,                0.79624,                0.82186,                0.84922,                 0.6647,                0.86479,                0.75586,                 1.3189,               0.000548,               0.000548,               0.000548
                     47,                0.78748,                0.68893,                 1.1485,                0.80715,                0.78671,                0.84521,                0.66601,                0.84356,                  0.668,                 1.2892,               0.000515,               0.000515,               0.000515
                     48,                0.77557,                0.66132,                 1.1487,                0.78671,                0.83333,                 0.8483,                0.66631,                0.85336,                 0.6718,                 1.2877,               0.000482,               0.000482,               0.000482
                     49,                 0.7725,                0.64735,                 1.1347,                0.81883,                0.81845,                0.84714,                0.66534,                0.86234,                0.65823,                 1.3187,               0.000449,               0.000449,               0.000449
                     50,                0.76434,                0.65546,                 1.1418,                0.83651,                0.80258,                0.86076,                0.67802,                0.85202,                0.63598,                 1.3134,               0.000416,               0.000416,               0.000416
                     51,                0.71957,                0.60842,                 1.1326,                0.79695,                0.82545,                0.86284,                0.67902,                0.87189,                0.62732,                 1.3291,               0.000383,               0.000383,               0.000383
                     52,                0.69802,                0.70419,                 1.1109,                0.78584,                0.84821,                0.86417,                0.68245,                0.84932,                0.61962,                 1.3023,                0.00035,                0.00035,                0.00035
                     53,                0.68936,                0.63541,                 1.1233,                0.82327,                0.81334,                0.86039,                0.67765,                  0.854,                0.65071,                 1.3192,               0.000317,               0.000317,               0.000317
                     54,                0.69018,                0.53928,                 1.1292,                0.79008,                0.85507,                0.87049,                0.68633,                0.85603,                0.64018,                 1.3148,               0.000284,               0.000284,               0.000284
                     55,                0.67703,                0.53717,                 1.1077,                0.78911,                 0.8244,                0.85565,                0.67431,                0.83471,                0.68255,                 1.2801,               0.000251,               0.000251,               0.000251
                     56,                0.67124,                 0.5427,                 1.0946,                0.80011,                  0.818,                0.86831,                0.68274,                0.83655,                0.67914,                 1.2811,               0.000218,               0.000218,               0.000218
                     57,                0.66743,                0.51574,                 1.0975,                 0.8206,                0.83135,                0.87126,                0.69072,                0.83485,                0.64628,                 1.2846,               0.000185,               0.000185,               0.000185
                     58,                0.66188,                0.51943,                 1.0895,                0.80373,                0.82874,                 0.8692,                0.68997,                0.82231,                0.63775,                 1.2684,               0.000152,               0.000152,               0.000152
                     59,                0.65012,                0.55598,                 1.0775,                 0.7649,                0.84425,                0.85507,                0.67885,                0.81934,                0.66876,                 1.2613,               0.000119,               0.000119,               0.000119
                     60,                0.64464,                0.49416,                 1.0855,                0.82445,                0.80456,                0.86923,                0.68609,                0.82526,                 0.6347,                 1.2658,                8.6e-05,                8.6e-05,                8.6e-05
