                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0186,                0.91262,                 1.3396,                0.76242,                 0.7728,                0.79448,                0.57002,                 1.0767,                 1.0651,                 1.4335,               0.000911,               0.000911,               0.000911
                     36,                 1.0227,                 0.9002,                 1.3379,                0.75222,                   0.76,                 0.7565,                0.55403,                 1.0509,                 1.1377,                 1.4112,               0.000878,               0.000878,               0.000878
                     37,                0.99627,                0.87182,                 1.3211,                0.78752,                   0.68,                0.73847,                0.53255,                 1.0853,                 1.1544,                 1.4148,               0.000845,               0.000845,               0.000845
                     38,                0.99684,                 0.8615,                 1.3158,                0.77175,                 0.7344,                0.78712,                0.57494,                 1.0447,                 1.1334,                 1.3994,               0.000812,               0.000812,               0.000812
                     39,                0.98871,                0.85974,                 1.3176,                0.79867,                 0.6976,                0.77733,                0.57387,                 1.0559,                 1.0413,                 1.4024,               0.000779,               0.000779,               0.000779
                     40,                0.97993,                0.81987,                 1.3052,                0.77368,                0.74387,                0.77431,                 0.5746,                 1.0143,                 1.1599,                 1.3659,               0.000746,               0.000746,               0.000746
                     41,                0.97588,                0.83196,                 1.2998,                0.75792,                 0.7344,                0.76563,                0.56402,                 1.0266,                 1.1196,                 1.3845,               0.000713,               0.000713,               0.000713
                     42,                0.98033,                0.84943,                  1.304,                0.78903,                0.74799,                0.79615,                0.58122,                  1.075,                   1.04,                 1.4197,                0.00068,                0.00068,                0.00068
                     43,                0.95563,                0.82827,                 1.2979,                0.77307,                0.76854,                0.80162,                0.59235,                 1.0426,                0.97262,                 1.4128,               0.000647,               0.000647,               0.000647
                     44,                0.95841,                0.79544,                 1.2899,                0.74633,                 0.7728,                0.78785,                0.58404,                 1.0236,                 1.0186,                 1.3897,               0.000614,               0.000614,               0.000614
                     45,                0.94947,                0.82066,                 1.2923,                0.74446,                 0.7824,                0.75776,                0.56046,                 1.0446,                 1.1352,                 1.3997,               0.000581,               0.000581,               0.000581
                     46,                0.93394,                0.78559,                 1.2848,                0.79989,                 0.8048,                0.81974,                0.59599,                 1.0603,                 1.0138,                 1.4272,               0.000548,               0.000548,               0.000548
                     47,                0.94316,                0.77178,                  1.289,                0.79288,                 0.7792,                 0.7908,                0.58905,                 1.0085,                 1.1369,                 1.3721,               0.000515,               0.000515,               0.000515
                     48,                0.92055,                0.75025,                 1.2559,                0.70052,                0.81962,                0.78174,                0.57687,                 1.0558,                 1.3725,                 1.4171,               0.000482,               0.000482,               0.000482
                     49,                0.91681,                0.74615,                 1.2678,                0.79661,                 0.7824,                 0.8175,                0.60882,                 1.0376,                 1.0098,                 1.4053,               0.000449,               0.000449,               0.000449
                     50,                0.92851,                0.75858,                 1.2728,                0.79669,                 0.8208,                0.84094,                0.61569,                 1.0331,                 1.0658,                 1.3986,               0.000416,               0.000416,               0.000416
                     51,                0.88175,                0.68937,                 1.2972,                0.78717,                0.80481,                0.81454,                0.60701,                 1.0277,                0.93251,                 1.3864,               0.000383,               0.000383,               0.000383
                     52,                0.86014,                0.67724,                 1.2837,                 0.8119,                 0.7735,                0.80088,                  0.591,                 1.0231,                 1.1332,                  1.386,                0.00035,                0.00035,                0.00035
                     53,                0.85355,                0.61028,                 1.2679,                0.79976,                0.76044,                0.80125,                0.58585,                 1.0615,                 1.1192,                  1.439,               0.000317,               0.000317,               0.000317
                     54,                0.83548,                0.60822,                 1.2626,                0.79124,                0.80051,                0.82161,                0.60522,                 1.0296,                0.94959,                 1.3909,               0.000284,               0.000284,               0.000284
                     55,                0.85654,                0.61309,                 1.2893,                0.80041,                 0.8192,                0.80704,                0.58667,                 1.0842,                 1.0452,                  1.458,               0.000251,               0.000251,               0.000251
                     56,                0.83426,                0.56266,                 1.2389,                0.80166,                 0.8096,                0.81146,                0.59598,                 1.0557,                0.99536,                 1.4336,               0.000218,               0.000218,               0.000218
                     57,                 0.8297,                0.57967,                 1.2521,                0.82485,                0.76103,                0.77877,                0.57836,                 1.0252,                 1.1291,                  1.392,               0.000185,               0.000185,               0.000185
                     58,                0.81064,                0.53885,                 1.2306,                0.79365,                 0.7968,                0.78678,                0.58007,                   1.01,                 1.0501,                 1.3793,               0.000152,               0.000152,               0.000152
                     59,                 0.8016,                0.52702,                 1.2241,                 0.8047,                 0.7712,                0.78453,                0.57932,                 1.0471,                 1.0328,                  1.417,               0.000119,               0.000119,               0.000119
                     60,                0.79298,                0.54014,                 1.2199,                0.80227,                 0.8016,                0.81127,                0.60326,                 1.0355,                 1.0011,                 1.4016,                8.6e-05,                8.6e-05,                8.6e-05
