                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91186,                0.51688,                 1.1585,                0.86615,                 0.8807,                0.91744,                0.54533,                 1.0602,                0.54027,                 1.3224,               0.000878,               0.000878,               0.000878
                     37,                0.90678,                0.51475,                  1.157,                0.88239,                0.85946,                0.91034,                0.54079,                 1.0683,                0.60733,                 1.3242,               0.000845,               0.000845,               0.000845
                     38,                0.88519,                0.50318,                 1.1498,                0.89766,                0.86134,                0.91576,                0.53562,                 1.0564,                0.65989,                 1.3012,               0.000812,               0.000812,               0.000812
                     39,                0.86607,                0.49219,                 1.1382,                 0.9163,                0.83073,                0.91087,                0.54554,                 1.0505,                0.56932,                 1.3095,               0.000779,               0.000779,               0.000779
                     40,                0.85356,                0.48862,                 1.1323,                0.89659,                0.87736,                0.92769,                0.54388,                 1.0519,                0.62845,                 1.3135,               0.000746,               0.000746,               0.000746
                     41,                0.84519,                 0.4802,                 1.1221,                 0.9104,                0.83573,                0.91377,                0.55206,                  1.051,                0.67054,                 1.3121,               0.000713,               0.000713,               0.000713
                     42,                0.83543,                0.47685,                 1.1154,                0.86527,                0.87758,                0.92225,                0.54846,                 1.0438,                0.56052,                 1.3357,                0.00068,                0.00068,                0.00068
                     43,                0.82156,                0.46189,                 1.1072,                0.89117,                0.85931,                0.91987,                0.55147,                 1.0357,                0.64697,                 1.3152,               0.000647,               0.000647,               0.000647
                     44,                0.79246,                 0.4555,                 1.0929,                0.89202,                0.85447,                0.91558,                0.55096,                 1.0287,                0.64229,                 1.3233,               0.000614,               0.000614,               0.000614
                     45,                0.79787,                0.45819,                  1.094,                0.87446,                0.87886,                0.91729,                0.54926,                 1.0374,                0.60844,                 1.3371,               0.000581,               0.000581,               0.000581
                     46,                0.77722,                  0.446,                 1.0888,                0.88802,                0.87071,                0.91441,                0.54927,                  1.061,                0.57121,                 1.3656,               0.000548,               0.000548,               0.000548
                     47,                0.76614,                0.43478,                 1.0779,                0.91015,                0.85413,                0.91462,                0.55493,                 1.0286,                0.53325,                 1.3296,               0.000515,               0.000515,               0.000515
                     48,                0.75516,                0.42793,                 1.0674,                0.90497,                0.85059,                0.91071,                0.54539,                 1.0431,                0.55473,                 1.3621,               0.000482,               0.000482,               0.000482
                     49,                0.76258,                0.43141,                 1.0714,                 0.9058,                0.86321,                0.91812,                0.55564,                  1.045,                0.52016,                 1.3528,               0.000449,               0.000449,               0.000449
                     50,                0.74159,                 0.4204,                 1.0622,                0.91104,                0.85197,                0.90873,                0.55204,                  1.028,                0.70812,                  1.354,               0.000416,               0.000416,               0.000416
                     51,                0.67714,                0.34292,                 1.0488,                0.91579,                0.84904,                0.91779,                0.55932,                 1.0373,                0.59299,                 1.3462,               0.000383,               0.000383,               0.000383
                     52,                0.65317,                 0.3287,                 1.0315,                 0.9137,                0.83982,                0.91591,                0.56019,                  1.034,                0.67771,                  1.352,                0.00035,                0.00035,                0.00035
                     53,                0.63374,                0.32274,                 1.0224,                0.90716,                0.85443,                0.91624,                0.55625,                 1.0309,                0.67578,                 1.3585,               0.000317,               0.000317,               0.000317
                     54,                0.61586,                0.31499,                 1.0035,                0.88833,                0.84966,                0.91279,                0.56289,                 1.0239,                0.68959,                  1.361,               0.000284,               0.000284,               0.000284
                     55,                0.61074,                0.30838,                 1.0038,                0.87048,                 0.8732,                0.91877,                0.56535,                 1.0336,                0.52686,                 1.3828,               0.000251,               0.000251,               0.000251
                     56,                0.59087,                0.30039,                0.99392,                0.87906,                0.87625,                0.91967,                0.56553,                 1.0324,                0.55011,                 1.3983,               0.000218,               0.000218,               0.000218
                     57,                0.58312,                0.29763,                 0.9845,                0.90188,                0.83824,                0.91403,                0.56394,                 1.0246,                 0.5961,                 1.3817,               0.000185,               0.000185,               0.000185
                     58,                0.57451,                 0.2923,                0.98473,                0.90555,                 0.8623,                0.91991,                0.56747,                 1.0306,                 0.5254,                 1.4011,               0.000152,               0.000152,               0.000152
                     59,                0.56109,                0.28912,                 0.9723,                0.91992,                0.83448,                0.91639,                0.56547,                  1.028,                0.53694,                 1.3912,               0.000119,               0.000119,               0.000119
                     60,                0.54624,                0.27635,                 0.9602,                0.89783,                0.86176,                0.92235,                0.56996,                 1.0306,                0.51222,                 1.4073,                8.6e-05,                8.6e-05,                8.6e-05
