                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7348,                 1.4548,                 1.7171,                0.79013,                0.75336,                0.82402,                0.41059,                 1.2424,                 12.419,                   1.37,             0.00066455,             0.00066455,             0.00066455
                      2,                 1.7221,                 1.3361,                 1.7236,                0.81409,                0.75988,                0.82326,                 0.4334,                 1.2045,                 64.662,                 1.3316,              0.0013093,              0.0013093,              0.0013093
                      3,                 1.6852,                 1.2686,                 1.6988,                0.82836,                 0.7462,                0.84244,                0.43211,                 1.2106,                 4.4819,                 1.3549,               0.001932,               0.001932,               0.001932
                      4,                  1.657,                  1.187,                 1.6785,                0.82366,                0.78318,                0.84973,                0.46777,                 1.1643,                 2.0244,                 1.2942,               0.001901,               0.001901,               0.001901
                      5,                 1.6163,                 1.1336,                 1.6458,                0.85653,                0.81655,                 0.8938,                0.48061,                 1.1558,                 2.5351,                  1.268,               0.001901,               0.001901,               0.001901
                      6,                 1.5797,                 1.0628,                 1.6171,                0.82645,                0.83992,                0.88076,                0.47375,                  1.125,                 6.0002,                 1.2602,               0.001868,               0.001868,               0.001868
                      7,                 1.5619,                 1.0226,                 1.6062,                0.85732,                0.83181,                0.89881,                0.50514,                 1.0917,                 1.9675,                 1.2305,               0.001835,               0.001835,               0.001835
                      8,                 1.5278,                 0.9791,                 1.5754,                0.86624,                0.82016,                0.89418,                0.47824,                 1.1583,                 1.1265,                  1.297,               0.001802,               0.001802,               0.001802
                      9,                 1.5333,                0.97503,                 1.5757,                0.84719,                0.83973,                0.89726,                 0.5202,                 1.0716,                 2.0655,                 1.2166,               0.001769,               0.001769,               0.001769
                     10,                 1.5075,                0.93109,                 1.5609,                0.86689,                0.80827,                0.89869,                0.50997,                 1.1029,                0.63712,                 1.2349,               0.001736,               0.001736,               0.001736
                     11,                 1.4949,                0.93315,                 1.5544,                0.87075,                0.82253,                0.90531,                0.53305,                 1.0747,                 1.1425,                 1.2132,               0.001703,               0.001703,               0.001703
                     12,                  1.485,                0.90888,                 1.5496,                0.86721,                0.85512,                0.92584,                0.52934,                 1.0843,                0.72861,                 1.2277,                0.00167,                0.00167,                0.00167
