                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0112,                0.57398,                 1.1565,                0.72857,                0.76879,                 0.8028,                0.52112,                 1.0988,                 3.9061,                 1.2178,               0.000878,               0.000878,               0.000878
                     37,                 1.0105,                0.57777,                 1.1491,                0.73203,                0.78007,                0.81707,                0.51717,                 1.1042,                 3.4415,                 1.2434,               0.000845,               0.000845,               0.000845
                     38,                0.98067,                 0.5619,                 1.1411,                0.77038,                0.78035,                0.83212,                0.52689,                 1.0952,                 2.1937,                 1.2165,               0.000812,               0.000812,               0.000812
                     39,                0.97323,                0.56399,                 1.1436,                0.75787,                0.77799,                0.81057,                0.51891,                 1.1176,                 2.0739,                 1.2474,               0.000779,               0.000779,               0.000779
                     40,                0.97481,                0.55154,                 1.1401,                0.72917,                0.84046,                0.83036,                0.53012,                 1.1056,                  2.776,                 1.2397,               0.000746,               0.000746,               0.000746
                     41,                0.93569,                0.54614,                 1.1312,                0.75333,                0.81204,                0.83203,                0.53093,                 1.1019,                 2.2685,                 1.2291,               0.000713,               0.000713,               0.000713
                     42,                 0.9518,                0.53762,                 1.1268,                0.75152,                0.81816,                 0.8359,                0.53793,                 1.1176,                 1.5851,                 1.2534,                0.00068,                0.00068,                0.00068
                     43,                0.94687,                0.53342,                 1.1165,                0.79153,                0.77688,                0.83374,                0.53571,                 1.1021,                 1.7864,                   1.23,               0.000647,               0.000647,               0.000647
                     44,                0.91703,                0.51689,                 1.1158,                0.77893,                0.78035,                0.83052,                0.54094,                 1.0883,                  1.359,                 1.2207,               0.000614,               0.000614,               0.000614
                     45,                0.92588,                 0.5139,                 1.1154,                0.76878,                0.78031,                0.82365,                0.53716,                 1.0839,                 1.3922,                 1.2038,               0.000581,               0.000581,               0.000581
                     46,                0.91286,                  0.506,                 1.0996,                0.78046,                0.76854,                0.82329,                0.53334,                 1.0866,                0.98679,                  1.224,               0.000548,               0.000548,               0.000548
                     47,                0.91278,                0.50098,                 1.0985,                0.77927,                0.79075,                0.82875,                0.53502,                 1.0916,                 2.3127,                 1.2235,               0.000515,               0.000515,               0.000515
                     48,                0.89065,                0.48877,                 1.0862,                0.77189,                0.77068,                0.82415,                0.53867,                 1.0987,                 1.3361,                 1.2441,               0.000482,               0.000482,               0.000482
                     49,                0.89254,                0.49451,                  1.091,                0.74848,                0.80159,                0.82201,                 0.5344,                 1.0774,                 2.8269,                 1.2127,               0.000449,               0.000449,               0.000449
                     50,                0.85864,                0.48345,                 1.0734,                0.75992,                0.79306,                0.82699,                0.53894,                 1.0875,                 2.5304,                   1.23,               0.000416,               0.000416,               0.000416
                     51,                0.81112,                0.42533,                 1.0715,                0.74737,                0.77572,                  0.803,                0.52398,                 1.1032,                 1.7307,                 1.2468,               0.000383,               0.000383,               0.000383
                     52,                0.79747,                0.41819,                  1.059,                0.76601,                0.80231,                0.81612,                0.53382,                 1.0968,                 1.0651,                 1.2431,                0.00035,                0.00035,                0.00035
                     53,                 0.7916,                0.40474,                 1.0527,                0.77493,                0.78413,                0.82948,                 0.5422,                 1.0915,                 2.5965,                 1.2401,               0.000317,               0.000317,               0.000317
                     54,                0.78339,                0.39733,                 1.0569,                0.77587,                0.76839,                0.81434,                0.53269,                 1.0942,                 1.4165,                 1.2464,               0.000284,               0.000284,               0.000284
                     55,                 0.7652,                0.39394,                 1.0361,                0.77023,                0.79191,                0.82835,                0.53689,                 1.1042,                 1.6844,                 1.2492,               0.000251,               0.000251,               0.000251
                     56,                0.74967,                0.38683,                 1.0274,                0.75031,                0.80943,                0.82587,                0.53596,                 1.0916,                 1.3005,                 1.2473,               0.000218,               0.000218,               0.000218
                     57,                0.74517,                0.37783,                 1.0316,                0.77644,                0.73475,                0.80177,                0.52567,                 1.0997,                 1.9581,                 1.2544,               0.000185,               0.000185,               0.000185
                     58,                0.73013,                0.36139,                 1.0177,                0.74085,                0.78327,                0.80903,                0.53499,                 1.0784,                 1.5664,                 1.2343,               0.000152,               0.000152,               0.000152
                     59,                0.71132,                0.35412,                 1.0036,                0.73415,                0.79306,                0.80758,                 0.5327,                 1.0946,                 1.4802,                 1.2555,               0.000119,               0.000119,               0.000119
                     60,                0.70096,                 0.3591,                 1.0052,                0.76289,                0.76624,                0.81025,                0.53343,                 1.0936,                 1.2223,                 1.2499,                8.6e-05,                8.6e-05,                8.6e-05
